asal,hasil
ad,ada
adnya,adanya
aga,agak
aj,saja
aja,saja
ajah,saja
ajh,saja
ajj,saja
ajja,saja
ak,aku
aktip,aktif
ama,sama
ampuunn,ampun
anehh,aneh
ank,anak
apaa,apa
apal,hafal
apalgi,apalagi
apdete,update
apgred,upgrade
apilkasinya,aplikasinya
apk,aplikasi
apknya,aplikasinya
apl,aplikasi
aplimasi,aplikasi
app,aplikasi
applikasinya,aplikasinya
appnya,aplikasinya
apps,aplikasi
aq,aku
asik,asyik
atw,atau
baggus,bagus
bagusmemudahkan,bagus memudahkan
baguss,bagus
baikk,baik
bandingin,membandingkan
bangett,banget
bangt,banget
banyk,banyak
barsng,barang
bbrpa,beberapa
beegitu,begitu
begtu,begitu
belm,belum
belom,belum
bener,benar
berharihari,berhari-hari
bersujut,bersujud
bersukur,bersyukur
berusuran,berurusan
bg,bagi
bgini,begini
bgitu,begitu
bgm,bagaimana
bgmn,bagaimana
bgni,begini
bgs,bagus
bgtt,banget
bgtu,begitu
bgus,bagus
bikinan,buatan
bilng,bilang
bingun,binggung
bisah,bisa
bkannya,bukannya
bkln,bakalan
blg,bilang
bljr,belajar
blm,belum
blom,belum
blum,belum
bnget,banget
bngt,banget
bnr,benar
bnr2,benar-benar
bnyak,banyak
bnyk,banyak
boong,bohong
boongin,bohongin
bper,baper
brarti,berarti
brbh,berubah
brmanfaat,bermanfaat
brng,bareng
brp,berapa
brrubah,berubah
brsalah,bersalah
bs,bisa
bsa,bisa
btuh,butuh
byk,banyak
cape,capek
cerdass,cerdas
cm,cuma
cmpur,campur
cpt,cepat
cuman,cuma
d,di
daftr,daftar
dah,sudah
dalem,dalam
dapetin,mendapatkan
dateng,datang
dbtuhkan,dibutuhkan
dduk,duduk
dekt,dekat
dengerin,dengarkan
dengn,dengan
dftar,daftar
dftr,daftar
dg,dengan
dgn,dengan
dgr,dengar
dgunain,digunakan
dibikinin,dibuatkan
dikasihnya,diberikannya
dikassih,dikasih
dikit,sedikit
dilajutkan,dilanjutkan
dinpersulit,dipersulit
dipake,dipakai
dipoto,difoto
diubat,dibuat
diyingkatkan,ditingkatkan
dll,dan lain lain
dlm,dalam
dlu,dulu
dluar,di luar
dmana,dimana
dmn,dimana
dngan,dengan
doang,saja
doank,saja
dokuemen,dokumen
dpt,dapat
dr,dari
dri,dari
dsini,di sini
dtg,datang
duminta,diminta
dy,dia
efektid,efektif
emang,memang
emg,memang
emng,memang
enggk,enggak
ferifikasi,verifikasi
fikiranku,pikiranku
g,tidak
ga,tidak
gabisa,tidak bisa
gabkln,ga bakalan
gaguna,tidak berguna
gak,tidak
gapake,tidak pakai
gatau,tidak tahu
gayax,gayanya
gblok,goblok
gede,besar
gimana,bagaimana
gimn,bagaimana
gini,begini
ginii,gini
gjlas,tidak jelas
gk,tidak
gmana,bagaimana
gmn,bagaimana
gmna,bagaimana
gni,begini
gpp,gapapa
gth,begitu
gua,saya
guedee,besar
gunanya,kegunaannya
gunya,kegunaannya
gw,saya
gwe,saya
gx,tidak
habisin,habiskan
hadia,hadiah
hapalan,hafalan
hapus,hapus
hars,harus
harua,harus
hbs,habis
hilamgkan,hilangkan
hilangkn,hilangkan
hnya,hanya
hrs,harus
hrus,harus
htii,hati
ikhls,ikhlas
ilang,hilang
ingt,ingat
jangann,jangan
jd,jadi
jg,juga
jga,juga
jgan,jangan
jgn,jangan
jngn,jangan
jugaa,juga
jugak,juga
kaasian,kasihan
kaga,tidak
kagi,lagi
kalo,kalau
karna,karena
kasi,kasih
kcil,kecil
kdang,kadang
kdepannya,kedepannya
kebaikkan,kebaikan
kenp,kenapa
keputusah,keputusan
kereen,keren
kerenn,keren
keseliruhan,keseluruhan
kesyel,kesel
kl,kalau
kliatannya,kelihatannya
klo,kalau
kluar,keluar
kluarin,keluarkan
klw,kalau
kmaren,kemarin
kmuu,kamu
kn,kan
knapa,kenapa
knp,kenapa
knpa,kenapa
koq,kok
kq,kok
kreen,keren
kren,keren
krn,karena
kt,kita
ktawa,ketawa
kumplit,komplit
kwalitasny,kualitasnya
ky,kayak
kya,kayak
kyk,kayak
kyknya,kayaknya
laamaa,lama
lainny,lainnya
lamaa,lama
lamanyaaa,lamanya
lancaarr,lancar
langkahny,langkahnya
lbh,lebih
lbih,lebih
lemoot,lemot
lemoott,lemot
lemott,lemot
lg,lagi
lgi,lagi
